cidade;ibge;pib;mat1517;veiculos;motos;populacao;pop1519;pop2024;pop2529;pop60p;jovem;rodovia
Adamantina;3500105;753020;95;22266;5415;33843;2390;2676;2617;19;7683;23
Adolfo;3500204;67123;81;1737;315;3524;255;272;269;17;796;4
Aguaí;3500303;619843;57;16229;4558;33181;2764;2937;3021;13;8723;63
Águas da Prata;3500402;104041;45;3724;765;7651;544;601;586;19;1732;27
Águas de Lindóia;3500501;299599;60;10242;2946;17610;1324;1341;1413;16;4077;7
Águas de Santa Bárbara;3500550;121546;65;2947;443;5700;479;429;415;16;1323;48
Águas de São Pedro;3500600;86655;129;2101;277;2834;201;195;179;25;575;5
Agudos;3500709;1880838;74;16089;3791;35022;2996;3051;3004;12;9051;48
Alambari;3500758;64864;74;1672;489;5150;466;452;467;12;1386;46
Alfredo Marcondes;3500808;53678;71;1809;340;3905;273;306;287;21;866;11
Altair;3500907;89780;63;1188;117;3883;326;338;360;12;1024;17
Altinópolis;3501004;306747;67;7685;681;15581;1274;1263;1269;16;3806;48
Alto Alegre;3501103;74194;67;2015;381;4081;280;311;326;21;917;23
Alumínio;3501152;1601243;74;6107;841;17177;1487;1455;1491;10;4433;9
Álvares Florence;3501202;96972;70;1589;299;3812;262;256;242;23;759;20
Álvares Machado;3501301;314561;69;11243;3127;23566;1974;1998;1853;15;5825;35
Álvaro de Carvalho;3501400;36947;76;998;169;4763;297;535;756;10;1588;15
Alvinlândia;3501509;35027;62;1059;158;3055;273;248;236;14;757;3
Americana;3501608;9084739;93;149688;29994;217932;15516;17587;19277;14;52380;28
Américo Brasiliense;3501707;570593;74;19021;4424;36240;3127;3349;3527;9;10003;28
Américo de Campos;3501806;67507;84;2908;544;5720;427;426;426;19;1280;25
Amparo;3501905;3025036;85;44219;12828;67048;4909;5444;5884;15;16236;79
Analândia;3502002;115428;56;1854;251;4468;358;379;391;15;1128;24
Andradina;3502101;1836095;78;35653;11224;55594;4062;4339;4427;16;12828;100
Angatuba;3502200;656896;59;9753;2422;22886;1946;1953;1868;13;5768;102
Anhembi;3502309;100220;65;1717;187;5956;538;489;456;13;1484;63
Anhumas;3502408;52697;63;1449;269;3807;328;322;307;15;957;4
Aparecida;3502507;678021;71;18422;3874;35220;2781;3008;3028;13;8816;22
Aparecida d'Oeste;3502606;64153;69;2496;492;4352;331;314;272;21;916;14
Apiaí;3502705;559383;70;7829;2383;24917;2530;2118;1813;12;6461;109
Araçariguama;3502754;1286073;58;7562;1363;18266;1675;1705;1695;8;5075;25
Araçatuba;3502804;5376621;81;142817;52750;184468;13178;14089;15059;15;42326;69
Araçoiaba da Serra;3502903;415640;71;15537;3904;28812;2448;2378;2294;14;7120;34
Aramina;3503000;94137;55;2132;186;5262;413;448;452;15;1313;30
Arandu;3503109;72124;60;1856;394;6132;577;544;475;14;1595;13
Arapeí;3503158;22695;68;798;147;2481;219;204;181;15;603;13
Araraquara;3503208;6805273;85;149733;36376;215021;15377;17863;19302;15;52541;129
Araras;3503307;3912489;77;82493;24301;122556;9422;10449;11147;14;31018;63
Arco-Íris;3503356;32851;58;689;156;1886;145;151;137;19;433;
Arealva;3503406;130229;70;3223;723;7950;599;607;580;19;1786;31
Areias;3503505;29902;68;1073;208;3731;355;315;270;13;940;26
Areiópolis;3503604;96064;60;3881;478;10643;959;998;987;9;2944;12
Ariranha;3503703;478412;67;4748;596;8784;656;733;817;14;2205;5
Artur Nogueira;3503802;741917;63;28224;7211;46904;3904;4174;4512;11;12590;21
Arujá;3503901;2630145;84;44939;5963;79305;7122;7013;6993;9;21128;25
Aspásia;3503950;19979;71;846;182;1795;135;143;125;19;402;4
Assis;3504008;2182422;74;63879;19868;97061;7122;8132;8443;15;23697;88
Atibaia;3504107;4535623;87;90113;20855;130604;10445;10668;11028;14;32141;90
Auriflama;3504206;215532;73;8483;2103;14296;1081;1211;1148;17;3439;47
Avaí;3504305;181613;68;1422;223;5057;480;466;390;13;1336;29
Avanhandava;3504404;168590;54;4364;1133;11537;960;1368;1228;11;3555;21
Avaré;3504503;1700617;75;51002;12691;84366;6630;7219;7254;14;21103;109
Bady Bassitt;3504602;249754;71;9359;1679;15182;1203;1224;1251;13;3678;13
Balbinos;3504701;27586;113;548;82;3683;120;590;785;7;1495;12
Bálsamo;3504800;142066;72;4759;863;8279;578;616;650;18;1844;11
Bananal;3504909;140576;61;3211;483;10342;869;810;771;15;2449;81
Barão de Antonina;3505005;34989;75;815;179;3193;275;251;222;16;748;3
Barbosa;3505104;82671;53;2396;644;6794;610;582;538;14;1729;13
Bariri;3505203;782678;69;20432;4869;32340;2540;2586;2694;16;7820;34
Barra Bonita;3505302;1039622;85;24882;4833;35135;2523;2712;2834;15;8068;16
Barra do Chapéu;3505351;44173;68;1348;613;5324;536;441;396;12;1373;
Barra do Turvo;3505401;62325;60;1187;314;7691;782;607;491;15;1880;75
Barretos;3505500;3107891;73;75304;26215;114013;8547;9455;10013;15;28014;104
Barrinha;3505609;318275;64;11115;2807;29648;2606;2791;3003;8;8400;16
Barueri;3505708;38813092;104;143281;22195;247934;21465;21771;22885;8;66121;32
Bastos;3505807;586486;70;12088;3247;20340;1649;1653;1576;14;4878;20
Batatais;3505906;1338427;75;33879;6699;57643;4541;4850;4921;15;14312;82
Bauru;3506003;10040995;82;236646;50557;350357;26274;28723;30538;14;85536;138
Bebedouro;3506102;1919887;83;51090;16091;74829;5853;6064;6174;15;18091;96
Bento de Abreu;3506201;107726;65;1188;227;2757;224;222;237;13;683;28
Bernardino de Campos;3506300;147636;59;5511;811;10773;874;878;788;18;2541;24
Bertioga;3506359;1410546;72;17416;5364;52279;4624;4541;4735;8;13900;83
Bilac;3506409;120043;61;4298;1099;7293;545;592;617;17;1755;26
Birigui;3506508;2301253;78;80367;33194;112678;8380;9134;9707;14;27221;76
Biritiba-Mirim;3506607;470064;63;9356;1529;29680;2680;2612;2540;12;7832;
